53_kW_mean,53_kW_max,71_kW_mean,71_kW_max,71A_kW_mean,71A_kW_max,83_kW_mean,83_kW_max,totalkW_max,totalkW_d-1,totalkW_w-1,totalkW_d/1,totalkW_w/1,71_71AkW_mean,71_71AkW_max,Month,Year,Day,WD,CDD_15,HDD_25,NWD,temp_max,insolation,temp_mean,RH,totalkW_mean
0.269653709619982,0.41556569160693924,0.845701861654831,0.7834170251798263,-0.39741862105492815,-0.5267864670919955,0.4940104808614905,0.4279504543306635,0.2053983012935694,,,,,0.3015747057167381,-0.03552563817027093,-0.33620910080916444,-1.2754121252249537,-0.8957187920924788,0.49844047637721295,-1.364410066894843,1.3268009557677787,0.0,-1.2662841860822625,-1.180512822539553,-1.3789670509247074,0.871631065009762,346.46
-1.2991690351796676,-1.2996225403049997,0.0828922131671037,0.22749984601251555,-1.178961486499003,-1.2442848043959776,-1.3859812132232574,-1.3422113950987522,-1.466494548924663,-1.6894151931573353,,-1.712183257080311,,-1.6354812531183092,-1.3917666378186853,-0.33620910080916444,-1.2754121252249537,-0.7812499368729927,0.9977130737500471,-1.2089512670207627,1.261308220245213,0.0,-1.5084894889127458,-1.180512822539553,-1.459916382849411,1.1726878473322124,197.77
-1.8421419609671805,-1.8494546545223107,-0.13921796655634747,0.1040199412175522,-1.1938259957741437,-1.3953039216446788,-1.6370447285894498,-1.6044453164207237,-1.526207380053589,-0.4939025510252918,,-0.744492123521372,,-1.8898616394392838,-1.5230471651911297,-0.33620910080916444,-1.2754121252249537,-0.6667810816535066,1.4969856711228813,-0.46274902762517844,0.2789171874067271,0.0,-0.45159362201609315,-0.7275281354659807,-0.5000885900279274,0.871631065009762,175.04
0.056681804747986994,0.12400168995978945,0.540531729305631,1.0303768347697528,-0.30823156540408286,-0.03581680566106522,0.7025863243964812,0.6664805509060855,0.5636752880671237,1.7212897913594878,,1.694089533047157,,0.1150129992403495,0.4894748026194406,-0.33620910080916444,-1.2754121252249537,-0.5523122264340204,-1.498649913114124,0.4700037716193022,-0.6052347421479104,0.0,0.2750222864753555,0.3116720289969198,0.20532701674448764,-0.16056361723863968,342.68
-0.022391922308446947,-0.06947442224433789,0.8857279669591613,0.7834170251798263,-0.08080457349442723,0.0019904837753272203,0.7278682448249648,0.6068065865091767,0.5541106076638257,0.8052935044674329,,0.726398399488217,,0.804784483211265,0.5769545979677145,-0.33620910080916444,-1.2754121252249537,-0.43784337121453437,-0.9993773157412897,0.8431048913170948,-0.9326984197607391,0.0,0.2970409503690353,-0.03472802582404695,0.7488439596674972,-1.2142623553672163,371.45
0.31815226221459486,0.5451496923390071,0.9972457863619776,0.9685510131756128,-0.1551271198701317,-0.14913365372180848,0.6773044039679975,0.5769696043107222,0.5684576282687731,0.1340001639497357,,0.18449136469521027,,0.8134729973550556,0.5332755346436108,-0.33620910080916444,-1.2754121252249537,-0.32337451599504824,-0.5001047183684555,0.06581089194669398,-0.2777710645350817,0.0,-0.5176496136971341,-1.1272205064132501,-0.2630226893912958,0.914639176770112,373.61
0.23907853515816094,0.3183776910578893,0.9488905493180178,0.7834170251798263,-0.5422650058804679,-0.6778055843406969,0.4157067550899371,0.44585264364973637,0.06212735941916131,-0.7731666351865434,,-0.5896615421519414,,0.19731253599125356,-0.254285960890989,-0.33620910080916444,-1.2754121252249537,-0.2089056607755621,-0.0008321209956212987,-1.644235906668187,1.785250104425739,0.0,-1.1782095305075417,-1.3403897709184605,-1.5350836196366358,1.1726878473322124,339.81
0.3455644875941584,0.4803576919729738,0.8382981889973827,0.7215912035856861,-0.5827295033516846,-0.7155078535286548,0.16569665307493125,0.13007791538276012,-0.04773362243539194,-0.2605518031940743,-0.6266100874134862,-0.202585088728366,-0.6120027614141955,0.023783600730551024,-0.29796502421509247,-0.33620910080916444,-1.2754121252249537,-0.09443680555607598,0.49844047637721295,-1.7064194266178192,1.9162355754708704,0.0,-2.147030741829473,-1.3403897709184605,-1.818406281373098,1.1081756796916873,326.32
-1.0155579341372574,-0.9756625384748326,0.23513023218588577,0.1040199412175522,-1.2009279279833778,-1.1309679563352346,-1.4906202727744817,-1.306407016460607,-1.3279395258602145,-1.6894151931573353,0.13175904065497357,-1.712183257080311,0.21636618042389083,-1.5104631884937694,-1.2168070471221373,-0.33620910080916444,-1.2754121252249537,0.020032049663410153,0.9977130737500471,-1.7375111865926351,2.079967414277285,0.0,-2.2791427251915546,-1.3403897709184605,-1.841534661923013,0.9791513444106371,202.8
-1.6354959542596998,-1.687474653607227,0.1768263100084798,0.04236585801672897,-1.2631937057248015,-1.2819870735839358,-1.67672329815082,-1.5389697165963379,-1.5380968091660223,-0.36045115037370906,0.2911461160416304,-0.5896615421519414,0.4924891610365863,-1.6615467955496803,-1.4355673698428557,-0.33620910080916444,-1.2754121252249537,0.1345009048828963,1.4969856711228813,-1.582052386718555,1.785250104425739,0.0,-1.4204148333380242,-0.9406973999711911,-1.4772626682618477,0.8071188973692368,185.36
0.09147424465281774,0.027713578304712036,0.6610727747597125,0.5981112987907228,-0.6152662625428266,-0.6022960257163461,0.2717402637610712,0.28489870079029594,-0.004758982012238273,1.7212897913594878,-0.7781633934994756,1.694089533047157,-0.7040437549517597,-0.20887550023094764,-0.254285960890989,-0.33620910080916444,-1.2754121252249537,0.2489697601023824,-1.498649913114124,-1.333318306920027,1.294054588006496,0.0,-1.0020602193580996,-0.38112808064501386,-1.1708116259754702,0.7211026738485367,317.51
