totalkW_mean
372.53
185.36
359.58
385.47
381.52
368.21
297.02
377.92
426.82
355.63
349.87
411.36
221.32
338.55
344.3
386.19
336.39
214.31
202.98
313.92
213.59
217.55
395.54
323.09
373.61
385.47
359.4
318.23
306.36
346.46
401.65
400.22
352.57
416.4
226.72
366.77
213.05
338.55
377.56
314.28
208.92
262.14
337.29
209.28
358.14
340.7
220.42
244.7
226.72
355.99
387.99
354.91
257.1
214.31
366.59
311.22
385.47
319.13
203.52
391.95
366.06
413.52
436.53
350.41
222.22
366.41
210.18
351.49
173.14
381.16
377.2
364.8
323.98
417.48
318.23
417.48
332.79
358.32
428.26
193.28
369.65
198.49
412.8
360.3
435.1
396.62
246.85
402.01
439.05
210.72
389.79
403.81
394.82
215.21
282.63
224.74
206.4
326.32
361.38
322.91
341.96
343.04
311.76
417.84
366.77
222.04
391.23
207.48
325.42
224.92
333.69
224.2
436.53
364.08
234.45
343.94
338.73
224.74
198.31
401.29
211.61
352.03
348.44
347.0
243.08
218.63
226.18
359.22
372.53
204.24
228.69
198.31
356.71
382.6
320.39
193.82
372.53
437.61
360.48
389.07
406.33
367.85
309.6
235.35
398.06
196.51
226.0
333.69
375.76
213.41
387.99
383.32
373.61
333.51
322.91
218.45
387.27
208.92
330.64
428.62
348.62
342.68
360.66
341.06
333.51
341.42
236.97
260.34
320.21
326.5
407.41
203.52
451.64
202.27
378.28
445.88
320.21
377.92
446.24
386.19
397.34
368.57
434.38
398.42
327.94
395.18
380.8
330.82
173.86
418.55
339.09
353.83
347.72
211.43
391.23
368.93
359.4
333.15
197.41
415.32
329.2
202.45
338.01
384.75
231.93
364.98
210.18
362.46
316.79
202.8
280.47
210.72
348.44
246.85
224.2
372.53
300.61
378.64
330.82
372.17
440.85
235.53
383.67
326.32
379.0
365.7
381.16
342.5
350.77
369.65
188.96
377.56
359.04
233.91
391.23
227.8
352.03
363.54
368.03
235.35
365.88
359.76
330.1
324.88
279.4
343.22
342.68
206.22
416.04
409.56
220.96
334.41
216.29
290.18
234.63
253.15
234.27
213.59
205.32
146.53
372.17
363.0
343.4
430.78
421.43
354.73
312.66
254.94
327.58
356.53
200.11
357.96
398.78
248.11
281.55
334.41
215.21
426.47
415.68
327.4
376.48
202.09
344.66
364.44
208.02
410.64
239.3
213.41
365.88
336.39
248.47
258.9
361.02
381.88
191.84
204.6
328.66
347.0
212.69
227.62
397.7
262.5
361.02
217.19
336.21
360.48
363.0
429.7
315.89
216.65
357.78
186.26
213.59
373.61
397.7
244.88
171.16
300.79
342.32
346.28
383.67
200.65
219.71
201.37
402.01
215.03
389.79
374.69
376.84
398.78
331.72
311.76
292.7
206.76
181.88
445.88
212.15
398.42
436.53
384.03
333.69
190.22
259.98
375.04
222.22
371.45
347.9
408.13
208.56
332.61
236.07
372.89
254.76
320.21
172.67
232.11
316.79
227.98
418.19
371.45
424.67
339.99
228.87
376.84
212.51
252.43
373.25
225.28
291.62
417.48
218.09
342.68
335.31
381.88
430.78
336.75
328.66
322.55
307.8
351.49
224.56
302.77
187.52
204.96
343.76
384.39
225.1
448.76
361.56
235.17
275.8
218.99
352.03
344.3
166.77
333.87
341.78
213.59
137.29
222.58
210.36
211.97
322.73
218.45
338.55
227.98
212.33
399.5
430.78
324.16
222.58
213.41
377.56
417.48
330.28
214.67
223.48
272.38
180.94
199.39
346.82
346.64
360.66
197.77
355.81
297.02
212.69
305.65
409.21
361.38
329.02
200.29
238.58
400.58
212.15
408.49
334.41
280.47
204.42
417.12
338.91
391.23
229.41
406.33
375.4
370.37
217.73
380.08
344.48
417.84
187.16
352.75
366.41
373.25
350.59
377.92
397.7
218.27
374.69
218.45
362.82
350.23
233.19
353.65
371.81
341.96
231.39
226.36
350.05
384.75
233.37
432.58
419.27
197.23
338.55
214.85
240.92
221.14
229.41
345.2
